Batch_ID,Build,TE_ID,Test_Venue,Simulation_Host,SDL,Batch_Attempts,Total_Init_Time,Variant,Run_Type,Ship,Config_File_Name,Script_File_Name,Section_Number,Section_UID,Procedure_Document,P,F,B,U,Issue
94637,40S03.00_R2,147440,MVDL1,mvdl-m06-h01,40S03.00_R2_SysTest,2,568,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94638,40S03.00_R2,147399,FARM1,adc-svr-vl621,40S03.00_R2_SysTest,1,1145,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94639,40S03.00_R2,147156,FARM1,adc-svr-vl617,40S03.00_R2_SysTest,1,540,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94640,40S03.00_R2,147407,MVDL6,mvdl6-m03-h01,40S03.00_R2_SysTest,2,553,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94641,40S03.00_R2,147520,FARM1,adc-svr-vl615,40S03.00_R2_SysTest,1,537,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94642,40S03.00_R2,147382,FARM1,adc-svr-vl503,40S03.00_R2_SysTest,1,541,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94643,40S03.00_R2,147362,FARM1,adc-svr-vl605,40S03.00_R2_SysTest,1,554,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94644,40S03.00_R2,147549,FARM1,adc-svr-vl625,40S03.00_R2_SysTest,1,544,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94645,40S03.00_R2,147422,FARM1,adc-svr-vl625,40S03.00_R2_SysTest,1,537,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94646,40S03.00_R2,147432,MVDL1,mvdl-m02-h01,40S03.00_R2_SysTest,1,579,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
